loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
35000, 60 months,21.18%,950.42,E,E3,finance manager,10+ years,MORTGAGE,195000,Verified,Fully Paid,debt_consolidation,NM,15.56,0,Aug-04,0,28,,9,0,32223,93.40%,28,w,0,Jul-18,0,,0,644712,0,3,3,10,7,133861,96,1,2,9122,94,34500,2,21,5,12,71635,878,91.2,122,95,7,7,4,15,,8,,1,1,4,1,2,17,4,7,4,9,0,4,88.5,100,0,0,671522,166084,10000,138709
16000, 36 months,5.32%,481.84,A,A1,Security specialist ,8 years,RENT,105000,Not Verified,Fully Paid,debt_consolidation,MD,15.02,1,Nov-00,0,9,,9,0,6219,27.90%,21,w,0,Nov-16,0,,0,23525,0,3,2,2,8,17306,69,0,1,3770,50,22300,1,3,1,3,3361,13632,29.7,124,184,22,8,0,52,,8,9,0,2,3,2,5,7,6,14,3,9,0,2,95.2,0,0,0,47543,23525,19400,25243
9000, 36 months,5.32%,271.04,A,A1,gift planning consultant,10+ years,MORTGAGE,90000,Not Verified,Fully Paid,home_improvement,ND,17.97,0,Dec-89,1,,,20,0,19386,23.90%,42,w,0,Feb-17,0,,0,151359,3,2,1,1,4,41686,77,4,5,13152,45,81100,0,0,2,6,7966,48684,28.3,180,315,3,3,3,3,,3,,0,3,5,10,16,12,16,27,5,20,0,5,100,10,0,0,288144,61072,67900,54244
3000, 36 months,13.67%,102.06,C,C3,Managing Member,8 years,RENT,90000,Source Verified,Current,small_business,FL,9.68,1,Apr-07,1,5,,4,0,646,35.90%,5,w,775.87,Aug-18,0,79,0,19192,0,1,0,0,30,18546,,0,0,166,36,1800,0,0,1,0,4798,579,27.6,30,37,29,29,1,36,5,5,5,1,2,3,2,2,1,3,3,3,4,0,0,40,0,0,0,38454,19192,800,36654
15000, 60 months,12.99%,341.22,C,C2,Museum ,5 years,MORTGAGE,53500,Verified,Charged Off,debt_consolidation,TX,11.48,0,Jul-98,1,38,42,9,1,10050,73%,23,w,0,Aug-18,0,39,0,95708,0,2,0,0,45,6907,80,1,2,9949,73,13800,0,0,3,2,11963,4183,80,212,168,8,8,1,8,39,2,39,0,3,5,4,9,7,5,15,2,8,0,1,65,33.3,1,0,122832,16957,12550,8607
25200, 36 months,7.39%,782.61,A,A4,Rural Letter Carrier,10+ years,OWN,53000,Source Verified,Current,debt_consolidation,MO,28.06,0,May-02,0,56,,7,0,9068,49%,12,w,6090.66,Aug-18,0,,0,38603,1,2,1,1,6,29535,66,1,2,5869,61,18500,0,0,0,3,6434,4526,65.2,166,154,11,6,0,11,,,56,0,2,3,2,4,5,5,7,3,7,0,2,91.7,50,0,0,63217,38603,13000,44717
33600, 36 months,10.75%,1096.05,B,B4,Co-Founder,2 years,RENT,100000,Source Verified,Current,debt_consolidation,NY,8.48,0,Apr-05,0,,,9,0,36256,35.80%,22,w,8425.12,Aug-18,0,,0,226963,0,0,0,0,65,0,,0,0,21581,36,81000,0,0,0,0,25218,41144,39.2,120,131,26,26,1,26,,,,0,5,5,6,8,9,8,12,5,9,0,0,100,33.3,0,0,281000,36256,77400,0
20625, 36 months,10.75%,672.8,B,B4,Director,10+ years,MORTGAGE,52000,Source Verified,Current,debt_consolidation,PA,24.16,0,May-90,0,44,,10,0,10742,63.60%,30,w,5171.98,Aug-18,0,44,5264,191741,2,2,0,0,43,28440,65,1,1,3301,65,16900,0,0,1,2,19174,2907,65,262,310,5,4,1,5,44,6,44,2,3,7,3,9,12,7,17,7,10,0,2,90,33.3,0,0,213638,39182,8300,43513
6000, 36 months,15.31%,208.91,C,C5,stock,< 1 year,RENT,33000,Source Verified,Current,debt_consolidation,CA,21.2,0,Nov-97,0,46,,4,0,5130,75.40%,8,w,1579.02,Aug-18,0,,0,17833,0,1,1,1,10,12703,74,0,3,3082,75,6800,1,0,2,4,4458,296,92.2,115,220,16,10,0,17,,8,,0,2,3,2,2,2,3,5,3,4,0,1,75,100,0,0,23887,17833,3800,17087
21000, 36 months,7.89%,657,A,A5,Office Manager,10+ years,MORTGAGE,125000,Source Verified,Current,debt_consolidation,TX,10.55,1,Mar-82,1,15,,16,0,14324,26.50%,25,w,5103.78,Aug-18,0,,0,51168,1,3,0,1,23,36844,89,2,3,5816,54,54100,0,0,1,4,3655,29797,29.9,43,360,6,6,0,6,,6,15,0,5,7,7,12,4,12,20,7,16,0,2,92,42.9,0,0,95700,51168,42500,41600
